etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26 22:30:08.268137,N017      ,2006-01-01 00:00:00,宜蘭信用合社,699.0,1139000000.0,311.0,392000000.0,0.0,0.0,0.0,0.0,448.0,38000000.0
2013-11-26 22:30:08.078519,807       ,2006-01-01 00:00:00,建華商業銀行,78800.0,164911000000,15449.0,21172000000.0,9719.0,3983000000.0,0.0,0.0,25570.0,13777000000.0
2013-11-26 22:30:08.270198,102       ,2006-01-01 00:00:00,華泰商業銀行,3524.0,14938000000.0,4555.0,14684000000.0,0.0,0.0,0.0,0.0,7241.0,2740000000.0
2013-11-26 22:30:08.272343,N018      ,2006-01-01 00:00:00,台南第六信用合作社,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.028015,016       ,2006-01-01 00:00:00,高雄銀行,20275.0,34956000000.0,3755.0,7398000000.0,0.0,0.0,0.0,0.0,45630.0,6575000000.0
2013-11-26 22:30:08.080786,087       ,2006-01-01 00:00:00,斐商標準銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.274452,381       ,2006-01-01 00:00:00,交通銀行,21624.0,50406000000.0,4053.0,11952000000.0,2832.0,1148000000.0,157.0,44000000.0,6453.0,6116000000.0
2013-11-26 22:30:08.276392,103       ,2006-01-01 00:00:00,臺灣新光商業銀行,15476.0,40966000000.0,568.0,930000000.0,25440.0,6819000000.0,0.0,0.0,247876.0,37096000000.0
2013-11-26 22:30:08.082863,188       ,2006-01-01 00:00:00,台南第三信用合作社,2918.0,5107000000.0,101.0,80000000.0,0.0,0.0,0.0,0.0,5502.0,147000000.0
2013-11-26 22:30:08.278481,321       ,2006-01-01 00:00:00,日商三井住友銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.280622,004       ,2006-01-01 00:00:00,臺灣銀行,95642.0,173705000000,23184.0,30750000000.0,0.0,0.0,18956.0,8777000000.0,2404058.0,127122000000
2013-11-26 22:30:08.00205,N002      ,2006-01-01 00:00:00,中國國際商業銀行,34149.0,80623000000.0,11289.0,18899000000.0,44.0,2000000.0,9040.0,5313000000.0,9668.0,30965000000.0
2013-11-26 22:30:08.031724,127       ,2006-01-01 00:00:00,桃園信用合作社,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,235000000.0
2013-11-26 22:30:08.085424,139       ,2006-01-01 00:00:00,苗栗縣竹南信用合作社,3194.0,4572000000.0,875.0,656000000.0,0.0,0.0,0.0,0.0,1014.0,63000000.0
2013-11-26 22:30:08.282693,158       ,2006-01-01 00:00:00,彰化第一信用合作社,1030.0,1744000000.0,241.0,244000000.0,0.0,0.0,0.0,0.0,7.0,2000000.0
2013-11-26 22:30:08.284594,076       ,2006-01-01 00:00:00,美商摩根大通銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.087467,215       ,2006-01-01 00:00:00,花蓮第一信用合作社,2538.0,4367000000.0,1465.0,2112000000.0,0.0,0.0,201.0,84000000.0,2343.0,727000000.0
2013-11-26 22:30:08.286523,079       ,2006-01-01 00:00:00,比利時商富通銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.289478,147       ,2006-01-01 00:00:00,三信商業銀行,5388.0,15515000000.0,2001.0,4782000000.0,9206.0,3926000000.0,0.0,0.0,19555.0,10806000000.0
