"國內各業生產及平減指數(2008SNA)-年 依 期間, 行業, 指標 與 種類"

" "," "," 國內生產毛額_當期價格(新台幣百萬元)"
" ","CJ.化學材料製造業",333447
" ","CK.化學製品製造業",58563
" ","CL.藥品及醫用化學製品製造業",39262
" ","CM.橡膠製品製造業",31238
" ","CN.塑膠製品製造業",90344
" ","CO.非金屬礦物製品製造業",138297
" ","CP.基本金屬製造業",253037
" ","CQ.金屬製品製造業",229895
" ","CR.電子零組件製造業",1276861
" ","CS.電腦、電子產品及光學製品製造業",493717
" ","CT.電力設備製造業",135083
" ","CU.機械設備製造業",196533
" ","CV.汽車及其零件製造業",105582
" ","CW.其他運輸工具及其零件製造業",75014
" ","CX.家具製造業",15382
" ","CY.其他製造業",96861
" ","D.電力及燃氣供應業",182902
" ","DA.電力供應業",155382
" ","DB.氣體燃料供應業",27520
" ","E.用水供應及污染整治業",95785
" ","EA.用水供應業",22077
" ","EB.污染整治業",73708
" ","F.營造業",365259
" ","G.批發及零售業",2346794
" ","GA.批發業",1462526
" ","GB.零售業",884268
" ","H.運輸及倉儲業",423989
" ","HA.陸上運輸業",174003
" ","HB.水上運輸業",23514
" ","HC.航空運輸業",68149
" ","HD.運輸輔助及倉儲業",127348
" ","HE.郵政及快遞業",30975
" ","I.住宿及餐飲業",300588
" ","IA住宿服務業",48953
" ","IB.餐飲業",251635
" ","J.資訊及通訊傳播業",458177
" ","JA.傳播業",114058
" ","JB.電信業",224873
" ","JC.資訊業",119246
" ","K.金融及保險業",871744
" ","KA.金融中介業",537516
" ","KB.保險業",220245
" ","KC.證券期貨及其他金融業",113983
" ","L.不動產及住宅服務業",1196515
" ","LA.不動產業",204326
" ","LB.住宅服務",992189
" ","M.專業、科學及技術服務業",305008
" ","N.支援服務業",194900
" ","NA.租賃業",40925
" ","NB.其他支援服務業",153975
" ","O.公共行政及國防；強制性社會安全",1034284
" ","P.教育服務業",650400
" ","Q.醫療保健及社會工作服務業",394934
" ","QA.醫療保健服務業",364930
" ","QB.社會工作服務業",30004
" ","R.藝術、娛樂及休閒服務業",117075
" ","S.其他服務業",369198
" ","SA.宗教、職業及類似組織",63462
" ","SB.家事服務業",96878
" ","SC.未分類其他服務業",208858
" ","合 計",13672960
" ","進口稅",152107
" ","加值型營業稅",249680
" ","總 計(生產面)",14074747
" ","統計差異",44466
" ","GDP",14119213
" ","按三級產業分:農業",224828
" ","按三級產業分:工業",4784526
" ","按三級產業分:服務業",9065393
" ","補充項目:ICT產業",2114697
"2011"
" ","A.農、林、漁、牧業",245783
" ","AA.農耕業",179167
" ","AB.畜牧業",26704
" ","AC.林業",2018
" ","AD.漁業",37894
" ","B.礦業及土石採取業",17174
" ","C.製造業",4102225
" ","CA.食品製造業",101013
" ","CB.飲料及菸草製造業",77935
" ","CC.紡織業",85560
" ","CD.成衣及服飾品製造業",29456
" ","CE.皮革、毛皮及其製品製造業",18186
" ","CF.木竹製品製造業",10135
" ","CG.紙漿、紙及紙製品製造業",48508
" ","CH.印刷及資料儲存媒體複製業",40372
" ","CI.石油及煤製品製造業",130368
" ","CJ.化學材料製造業",287801
" ","CK.化學製品製造業",61091
" ","CL.藥品及醫用化學製品製造業",38405
" ","CM.橡膠製品製造業",32740
" ","CN.塑膠製品製造業",94483
" ","CO.非金屬礦物製品製造業",136613
" ","CP.基本金屬製造業",235974
" ","CQ.金屬製品製造業",249925
" ","CR.電子零組件製造業",1204200
" ","CS.電腦、電子產品及光學製品製造業",578411
" ","CT.電力設備製造業",127359
" ","CU.機械設備製造業",207010
" ","CV.汽車及其零件製造業",113953
" ","CW.其他運輸工具及其零件製造業",79200
" ","CX.家具製造業",14493
" ","CY.其他製造業",99034
" ","D.電力及燃氣供應業",126013
" ","DA.電力供應業",127281
" ","DB.氣體燃料供應業",-1268
" ","E.用水供應及污染整治業",96943
" ","EA.用水供應業",22493
" ","EB.污染整治業",74450
" ","F.營造業",383053
" ","G.批發及零售業",2443613
" ","GA.批發業",1511666
" ","GB.零售業",931947
" ","H.運輸及倉儲業",398441
" ","HA.陸上運輸業",181031
" ","HB.水上運輸業",10148
" ","HC.航空運輸業",49871
" ","HD.運輸輔助及倉儲業",125636
" ","HE.郵政及快遞業",31755
" ","I.住宿及餐飲業",329048
" ","IA住宿服務業",54938
" ","IB.餐飲業",274110
" ","J.資訊及通訊傳播業",461781
" ","JA.傳播業",115875
" ","JB.電信業",223480
" ","JC.資訊業",122426
" ","K.金融及保險業",915039
" ","KA.金融中介業",568368
" ","KB.保險業",238048
" ","KC.證券期貨及其他金融業",108623
" ","L.不動產及住宅服務業",1211679
" ","LA.不動產業",207872
" ","LB.住宅服務",1003807
" ","M.專業、科學及技術服務業",314750
" ","N.支援服務業",204890
" ","NA.租賃業",43242
" ","NB.其他支援服務業",161648
" ","O.公共行政及國防；強制性社會安全",1054319
" ","P.教育服務業",667152
" ","Q.醫療保健及社會工作服務業",410855
" ","QA.醫療保健服務業",379423
" ","QB.社會工作服務業",31432
" ","R.藝術、娛樂及休閒服務業",123269
" ","S.其他服務業",379268
" ","SA.宗教、職業及類似組織",60436
" ","SB.家事服務業",101345
" ","SC.未分類其他服務業",217487
" ","合 計",13885295
" ","進口稅",162751
" ","加值型營業稅",264154
" ","總 計(生產面)",14312200
" ","統計差異",-
" ","GDP",14312200
" ","按三級產業分:農業",245783
" ","按三級產業分:工業",4725408
" ","按三級產業分:服務業",9341009
" ","補充項目:ICT產業",2128517
"2012"
" ","A.農、林、漁、牧業",242400
" ","AA.農耕業",188224
" ","AB.畜牧業",14236
" ","AC.林業",2122
" ","AD.漁業",37818
" ","B.礦業及土石採取業",15500
" ","C.製造業",4120882
" ","CA.食品製造業",111278
" ","CB.飲料及菸草製造業",85588
" ","CC.紡織業",89348
" ","CD.成衣及服飾品製造業",29094
" ","CE.皮革、毛皮及其製品製造業",18820
" ","CF.木竹製品製造業",10265
" ","CG.紙漿、紙及紙製品製造業",46182
" ","CH.印刷及資料儲存媒體複製業",41471
" ","CI.石油及煤製品製造業",122103
" ","CJ.化學材料製造業",211593
" ","CK.化學製品製造業",68395
" ","CL.藥品及醫用化學製品製造業",39800
" ","CM.橡膠製品製造業",37788
" ","CN.塑膠製品製造業",100061
" ","CO.非金屬礦物製品製造業",137544
" ","CP.基本金屬製造業",197773
" ","CQ.金屬製品製造業",233815
" ","CR.電子零組件製造業",1305371
" ","CS.電腦、電子產品及光學製品製造業",556275
" ","CT.電力設備製造業",139634
" ","CU.機械設備製造業",226115
" ","CV.汽車及其零件製造業",112581
" ","CW.其他運輸工具及其零件製造業",81407
" ","CX.家具製造業",16088
" ","CY.其他製造業",102493
" ","D.電力及燃氣供應業",134895
" ","DA.電力供應業",123251
" ","DB.氣體燃料供應業",11644
" ","E.用水供應及污染整治業",100937
" ","EA.用水供應業",22489
" ","EB.污染整治業",78448
" ","F.營造業",384523
" ","G.批發及零售業",2451902
" ","GA.批發業",1502383
" ","GB.零售業",949519
" ","H.運輸及倉儲業",416669
" ","HA.陸上運輸業",185606
" ","HB.水上運輸業",13788
" ","HC.航空運輸業",54387
" ","HD.運輸輔助及倉儲業",132164
" ","HE.郵政及快遞業",30724
" ","I.住宿及餐飲業",348795
" ","IA住宿服務業",59008
" ","IB.餐飲業",289787
" ","J.資訊及通訊傳播業",462034
" ","JA.傳播業",113305
" ","JB.電信業",221251
" ","JC.資訊業",127478
" ","K.金融及保險業",932853
" ","KA.金融中介業",592541
" ","KB.保險業",249916
" ","KC.證券期貨及其他金融業",90396
" ","L.不動產及住宅服務業",1241814
" ","LA.不動產業",212301
" ","LB.住宅服務",1029513
" ","M.專業、科學及技術服務業",325909
