101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中山區,力行里,2315,4374327,1890,806,397,1617,5248.36,277.76
中山區,朱崙里,1101,1404073,1275,721,388,1440,1854.04,145.38
中山區,晴光里,1832,2564153,1400,676,361,1290,6630.14,473.7
中山區,永安里,3483,7499329,2153,1026,472,2224,4713.82,218.93
中山區,圓山里,1457,1617088,1110,613,342,1083,4369.12,393.66
中山區,民安里,1734,2136759,1232,668,355,1326,2498.73,202.77
中山區,行孝里,1346,1225455,910,647,378,1143,961.67,105.63
中山區,龍洲里,1859,2264222,1218,724,383,1434,2039,167.41
中山區,行仁里,2622,2297402,876,627,361,1100,953.56,108.83
中山區,朱馥里,2058,2251213,1094,665,378,1253,1743.2,159.36
中山區,金泰里,2514,5808013,2310,1028,514,1997,9913.58,429.11
中山區,北安里,934,1131559,1212,764,426,1467,1785.07,147.34
中山區,其　他,133,173125,1302,470,300,858,4033.24,309.85
中山區,合　計,77544,106474571,1373,713,381,1372,10803.9,786.83
文山區,景美里,1737,2078391,1197,785,425,1483,1380.54,115.38
文山區,景行里,2029,2191015,1080,751,397,1350,1247.35,115.51
文山區,景仁里,1608,1849756,1150,776,413,1509,1290.02,112.14
文山區,萬有里,1811,2146804,1185,795,419,1538,1405.3,118.55
文山區,景慶里,2048,2109565,1030,711,395,1291,1182.46,114.8
文山區,萬隆里,2515,2906880,1156,794,421,1583,1164.04,100.71
文山區,萬祥里,1574,1643143,1044,758,409,1444,975.32,93.43
文山區,萬年里,1848,2459370,1331,761,389,1484,6954.15,522.54
文山區,萬盛里,1638,1825254,1114,777,411,1469,1208.77,108.48
文山區,萬和里,980,1179105,1203,828,432,1446,2019.75,167.87
文山區,興福里,1897,1954437,1030,718,407,1356,1034.84,100.44
文山區,興得里,1942,1978134,1019,704,385,1308,1107.75,108.75
