"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2016-01-25T05:54:06.710Z",35.557,-3.6833,12.79,5.1,"mb",NA,45,2.236,1.01,"us","us10004gzd","2016-01-25T06:13:21.320Z","41km NNE of Al Hoceima, Morocco","earthquake",7.2,1.3,0.035,268,"reviewed","us","us"
"2016-01-25T05:03:45.130Z",35.463,-3.758,10,4.6,"mb",NA,111,2.223,1.06,"us","us10004gyu","2016-01-25T06:14:15.458Z","29km NNE of Al Hoceima, Morocco","earthquake",6.5,1.9,0.1,30,"reviewed","us","us"
"2016-01-25T04:35:57.160Z",-31.6982,-72.1018,7.36,4.5,"mb",NA,191,1.096,0.66,"us","us10004gyp","2016-01-26T04:56:07.700Z","89km W of Illapel, Chile","earthquake",8.5,7.2,0.242,5,"reviewed","us","us"
"2016-01-25T04:34:19.790Z",35.6986,-3.7481,10,5.3,"mb",NA,69,2.132,1.02,"us","us10004gyj","2016-01-25T14:03:46.990Z","53km NNE of Al Hoceima, Morocco","earthquake",5.8,1.8,0.033,301,"reviewed","us","us"
"2016-01-25T04:30:56.020Z",35.6688,-3.7956,10,5,"mb",NA,93,2.108,0.69,"us","us10004gz3","2016-01-25T11:58:32.820Z","48km NNE of Al Hoceima, Morocco","earthquake",7.8,1.9,0.074,58,"reviewed","us","us"
"2016-01-25T04:22:02.630Z",35.6963,-3.7018,10,6.3,"mww",NA,24,2.168,0.9,"us","us10004gy9","2016-01-27T12:38:15.125Z","54km NNE of Al Hoceima, Morocco","earthquake",6.6,1.8,NA,NA,"reviewed","us","us"
"2016-01-25T02:05:21.300Z",8.0243,134.7344,15.52,5.1,"mb",NA,84,11.15,1.05,"us","us10004gxw","2016-01-25T08:20:13.502Z","6km SSE of Kayangel, Palau","earthquake",9.6,4.6,0.072,63,"reviewed","us","us"
"2016-01-25T00:00:09.930Z",-19.5973,-173.3987,40.14,5.7,"mb",NA,41,8.309,1.46,"us","us10004gx7","2016-01-27T00:01:12.000Z","102km ENE of Pangai, Tonga","earthquake",8.5,6.1,0.03,389,"reviewed","us","us"
"2016-01-24T18:34:35.590Z",7.125,38.4184,10,4.5,"mb",NA,136,1.777,0.93,"us","us20004uhd","2016-01-25T21:52:16.165Z","9km NNW of Awasa, Ethiopia","earthquake",6,1.9,0.121,20,"reviewed","us","us"
"2016-01-24T16:13:49.610Z",2.0677,96.6785,24.43,4.7,"mb",NA,161,1.174,0.5,"us","us10004guj","2016-01-24T17:13:34.063Z","56km SE of Sinabang, Indonesia","earthquake",6.8,6.1,0.081,46,"reviewed","us","us"
"2016-01-24T15:12:55.940Z",35.6168,140.6469,40.02,4.8,"mb",NA,121,0.715,1,"us","us10004gtq","2016-01-24T17:23:37.685Z","11km S of Asahi, Japan","earthquake",5.8,6.8,0.05,121,"reviewed","us","us"
"2016-01-24T14:52:55.010Z",-1.536,156.0786,14.51,4.8,"mb",NA,137,4.716,0.42,"us","us10004gtm","2016-01-24T16:04:34.865Z","North of the Solomon Islands","earthquake",13.7,4.4,0.114,24,"reviewed","us","us"
"2016-01-24T14:51:49.110Z",-30.2586,-179.336,306.15,4.8,"mb",NA,72,1.586,0.57,"us","us10004gtk","2016-01-24T15:47:45.134Z","136km NNW of L'Esperance Rock, New Zealand","earthquake",12,5.5,0.065,74,"reviewed","us","us"
"2016-01-24T14:29:28.000Z",59.7495,-153.1435,107.2,4.7,"ml",NA,NA,NA,0.39,"ak","ak12498869","2016-01-25T12:55:23.011Z","73km W of Anchor Point, Alaska","earthquake",0.3,0.3,NA,NA,"reviewed","ak","ak"
"2016-01-24T13:32:52.090Z",-17.6102,167.5434,10,4.5,"mb",NA,99,2.175,0.93,"us","us10004gsx","2016-01-24T14:44:20.675Z","83km W of Port-Vila, Vanuatu","earthquake",7.2,1.9,0.136,16,"reviewed","us","us"
"2016-01-24T12:52:05.990Z",-23.1822,-66.6426,204.48,4.7,"mb",NA,49,2.167,0.93,"us","us10004gs9","2016-01-24T13:10:33.395Z","97km W of El Aguilar, Argentina","earthquake",7.6,4.5,0.077,51,"reviewed","us","us"
"2016-01-24T10:30:30.070Z",59.6585,-153.4521,127.84,7.1,"mww",NA,45,0.693,1.83,"us","us10004gqp","2016-01-26T17:55:01.040Z","83km E of Old Iliamna, Alaska","earthquake",5,4.9,NA,NA,"reviewed","us","us"
"2016-01-24T00:34:05.270Z",-22.908,171.4623,28.73,5.1,"mb",NA,72,3.483,0.73,"us","us10004gp5","2016-01-24T00:53:27.761Z","82km SW of Ile Hunter, New Caledonia","earthquake",8.6,6.1,0.071,64,"reviewed","us","us"
"2016-01-24T00:10:50.620Z",-15.2835,-173.5204,35,4.6,"mb",NA,46,5.1,0.91,"us","us10004gp3","2016-01-24T01:30:22.909Z","77km NNE of Hihifo, Tonga","earthquake",10.9,2,0.078,49,"reviewed","us","us"
"2016-01-23T21:33:35.890Z",35.9977,140.7826,20.21,4.6,"mb",NA,138,0.532,0.87,"us","us10004gnl","2016-01-24T14:38:36.927Z","12km ENE of Kashima-shi, Japan","earthquake",5.6,5.3,0.073,56,"reviewed","us","us"
"2016-01-23T18:05:40.500Z",43.1458,-126.3312,30.14,4.9,"mww",NA,166,1.49,1.38,"us","us10004gmw","2016-01-26T17:05:34.463Z","156km W of Bandon, Oregon","earthquake",5,5.7,NA,NA,"reviewed","us","us"
"2016-01-23T15:56:59.770Z",43.254,145.6461,97.23,4.8,"mb",NA,135,2.215,0.84,"us","us10004gm4","2016-01-24T02:20:26.533Z","9km SE of Nemuro, Japan","earthquake",4.2,8.2,0.06,86,"reviewed","us","us"
"2016-01-23T13:02:17.300Z",71.6767,-2.3882,10,4.5,"Mb",NA,93.6,6.46158184,1.24,"us","us10004glv","2016-01-23T17:21:00.203Z","241km ENE of Olonkinbyen, Svalbard and Jan Mayen","earthquake",8.5,0,0.1,40,"reviewed","us","us"
"2016-01-23T10:08:01.990Z",-22.3828,-113.9671,10,5.5,"mb",NA,50,6.327,0.82,"us","us10004gli","2016-01-24T17:56:47.000Z","Easter Island region","earthquake",10.9,1.8,0.032,342,"reviewed","us","us"
"2016-01-23T07:49:43.540Z",-14.542,166.967,6.56,5.1,"mb",NA,145,0.928,0.76,"us","us10004gl0","2016-01-23T08:07:50.836Z","56km N of Port-Olry, Vanuatu","earthquake",9,5.4,0.086,44,"reviewed","us","us"
"2016-01-23T04:54:11.040Z",36.6672,71.3797,90.65,5,"mb",NA,54,0.79,0.89,"us","us10004gkq","2016-01-23T05:13:09.714Z","13km W of Ashkasham, Afghanistan","earthquake",2,5.4,0.047,143,"reviewed","us","us"
"2016-01-22T20:51:47.420Z",28.3163,55.3091,26.81,5.5,"mb",NA,19,1.048,0.82,"us","us10004ghe","2016-01-25T13:56:34.000Z","89km ESE of Darab, Iran","earthquake",4.8,3.7,0.034,296,"reviewed","us","us"
"2016-01-22T18:56:07.590Z",-14.7436,179.8529,10,5,"mb",NA,65,3.448,1.47,"us","us10004gga","2016-01-23T16:48:06.370Z","191km NNE of Lambasa, Fiji","earthquake",8.2,1.6,0.058,96,"reviewed","us","us"
"2016-01-22T16:34:36.030Z",-13.77,172.1223,54.16,5,"mb",NA,79,5.045,0.5,"us","us10004gep","2016-01-23T17:02:14.000Z","Vanuatu region","earthquake",10.7,8,0.113,25,"reviewed","us","us"
"2016-01-22T13:26:46.230Z",49.8578,155.8065,71.95,4.8,"mb",NA,125,3.463,0.67,"us","us10004gdm","2016-01-22T13:50:08.264Z","94km SSW of Severo-Kuril'sk, Russia","earthquake",9.9,7.1,0.053,109,"reviewed","us","us"
"2016-01-22T12:56:29.830Z",36.0884,70.3243,113.6,4.8,"mb",NA,80,1.054,0.86,"us","us10004gcn","2016-01-22T13:20:48.469Z","40km W of `Alaqahdari-ye Kiran wa Munjan, Afghanistan","earthquake",6.4,6.8,0.078,50,"reviewed","us","us"
"2016-01-22T07:03:58.630Z",-32.4776,-68.0636,98.89,4.6,"mb",NA,48,2.118,1.18,"us","us10004ga5","2016-01-22T07:47:59.309Z","76km NNE of San Martin, Argentina","earthquake",8.5,8.3,0.164,11,"reviewed","us","us"
"2016-01-22T02:41:15.340Z",4.848,-78.2164,31.86,4.9,"mb",NA,116,2.992,1.26,"us","us10004g9b","2016-01-22T03:54:04.931Z","95km W of Pizarro, Colombia","earthquake",6.7,6.5,0.054,108,"reviewed","us","us"
"2016-01-22T01:00:19.320Z",-24.2678,-115.8127,10,5,"mb",NA,224,6.432,0.89,"us","us10004g8j","2016-01-22T03:18:41.040Z","Southern East Pacific Rise","earthquake",9.2,2,0.049,134,"reviewed","us","us"
"2016-01-21T22:58:47.570Z",14.4339,145.5392,90.6,4.6,"mb",NA,97,0.831,0.62,"us","us10004g7s","2016-01-21T23:53:57.785Z","47km NE of Rota, Northern Mariana Islands","earthquake",7.4,6.8,0.074,54,"reviewed","us","us"
"2016-01-21T20:10:38.640Z",3.8885,126.8467,10,5,"mb",NA,133,3.139,0.96,"us","us10004g66","2016-01-21T20:53:37.895Z","227km SE of Sarangani, Philippines","earthquake",8.5,1.6,0.074,60,"reviewed","us","us"
"2016-01-21T19:28:59.570Z",27.3446,54.7971,10,4.8,"mb",NA,60,2.703,0.49,"us","us10004g5n","2016-01-21T20:17:47.912Z","58km SE of Lar, Iran","earthquake",7.6,1.9,0.076,53,"reviewed","us","us"
"2016-01-21T19:22:42.680Z",28.0264,84.9933,12.25,4.5,"mb",NA,160,0.423,0.74,"us","us10004g5f","2016-01-22T08:11:35.979Z","47km NW of Kirtipur, Nepal","earthquake",5.4,5.1,0.082,44,"reviewed","us","us"
"2016-01-21T18:06:59.010Z",18.8414,-106.9536,10,6.6,"mww",NA,82,5.469,1.61,"us","us10004g4l","2016-01-24T05:00:33.959Z","215km SW of Tomatlan, Mexico","earthquake",8.7,1.8,NA,NA,"reviewed","us","us"
"2016-01-21T13:47:19.260Z",35.5649,-3.6955,10,5.1,"mb",NA,97,2.224,1.1,"us","us10004g3i","2016-01-25T04:43:17.884Z","41km NNE of Al Hoceima, Morocco","earthquake",5.6,1.9,0.095,36,"reviewed","us","us"
"2016-01-21T13:02:00.740Z",-31.3843,58.1612,10,5.2,"mb",NA,67,10.4,1.05,"us","us10004g38","2016-01-21T13:23:48.501Z","Southwest Indian Ridge","earthquake",6.4,1.7,0.071,65,"reviewed","us","us"
"2016-01-21T08:43:37.950Z",51.2573,157.59,79.59,4.9,"mb",NA,127,1.855,0.64,"us","us10004g0h","2016-01-21T09:03:16.186Z","79km ESE of Ozernovskiy, Russia","earthquake",9.8,7.2,0.068,69,"reviewed","us","us"
"2016-01-21T08:26:21.400Z",-30.9636,-178.5159,117.14,5.3,"mb",NA,51,1.786,1.02,"us","us10004g0a","2016-01-21T14:56:45.000Z","63km NE of L'Esperance Rock, New Zealand","earthquake",9.8,7.5,0.076,57,"reviewed","us","us"
"2016-01-21T08:16:51.650Z",1.602,126.9554,109.68,5,"mb",NA,97,0.921,0.69,"us","us10004g06","2016-01-21T08:33:05.145Z","101km NNW of Kota Ternate, Indonesia","earthquake",8.7,6.6,0.089,40,"reviewed","us","us"
"2016-01-21T07:15:12.130Z",-22.3488,-174.9422,55.32,5.1,"mb",NA,89,5.712,1.04,"us","us10004fzt","2016-01-21T07:35:17.636Z","112km S of `Ohonua, Tonga","earthquake",11.3,3.4,0.099,33,"reviewed","us","us"
"2016-01-20T21:53:41.900Z",43.0965,146.0234,41.2,5.1,"mb",NA,114,2.377,0.75,"us","us10004fwv","2016-01-20T22:13:29.361Z","44km SE of Nemuro, Japan","earthquake",8.2,6.6,0.039,214,"reviewed","us","us"
